Date,Username,Tweet
2023-01-05 03:58:32+00:00,Mtsn2Kudus,"#kemenag.jateng
#kemenag_ri
#kemenagjateng
#MadrasahHebatBermartabat
#Madsaridaku
#pendidikanislam
#pendidikanmadrasah
#pendis
#pendiskemenag
@kanwiljateng
@kemenag.jateng
@kemenag_ri
@mtsnduakudus
@pendidikanislam
@pendidikanmadrasah 
@pendis
@pendiskemenag https://t.co/7EWdVj5Q77"
2023-01-05 02:31:27+00:00,MUSAFANGATUN3,"@PendisKemenag Pengabdian sudah puluhan tahun, ada formasi Tenaga guru ,seleksi P3K... pengabdian di madrasah swasta tidak bisa mndaftar, sama"" bekerja untuk kemenag..yg swasta tidak di akui masa kerja... sampai kapan Pak...yg swasta dilibatkan ..."
2023-01-04 08:35:17+00:00,alvi_rachmah,@irlimai @udin_mzudin @PendisKemenag gimana kak? bisa nggak? sepertinya sudah tutup
2023-01-04 08:31:27+00:00,alvi_rachmah,"@PendisKemenag @GusYaqut Assalammualaikum Pak/Bu Saya ingin bertanya, Dari Kemarin saya mengisi EMIS tetapi servernya lama sekali. Terus sekarang servernya sudah tutup. Lalu bagaimana ya? atau ikut pengisian data 2023?"
2023-01-04 05:57:18+00:00,PPesantren,"Selamat ulang tahun Gusmen @YaqutCQoumas 

@PendisKemenag 
@Kemenag_RI https://t.co/vJi9vCqNBF"
2023-01-04 05:28:18+00:00,noverarison,@CharmaDwiarto @PendisKemenag Iyaa sama saya juga bingung nih mas. Ga ada petunjuk nya sama sekali
2023-01-04 03:17:41+00:00,PendisKemenag,"Selamat Ulang Tahun @gusyaqut Semoga Panjang Umur, sehat selalu dan dimudahkan segala urusan dalam menjalankan tugas. https://t.co/My1IRMsROU"
2023-01-04 02:54:47+00:00,Mtsn2Kudus,"#kemenag.jateng
#kemenag_ri
#kemenagjateng
#MadrasahHebatBermartabat
#Madsaridaku
#pendidikanislam
#pendidikanmadrasah
#pendis
#pendiskemenag
@kanwiljateng
@kemenag.jateng
@kemenag_ri
@mtsnduakudus
@pendidikanislam
@pendidikanmadrasah 
@pendis
@pendiskemenag https://t.co/IvXnW0qnSE"
2023-01-03 14:32:17+00:00,CharmaDwiarto,"@PendisKemenag Assalamualaikum selamat malam,mohon izin bertanya mohon maaf utk persyaratan pendaftaran PPPK khususnya unggah dokumen poin 3 yg menyatakan "" asli surat keputusan yg sah dr pejabat yg berwenag di kementerian agama itu maksutnya gimana ya ?"
2023-01-03 09:50:25+00:00,IBTimesID,"Janissary adalah pasukan elit dan terkuat milik Turki Utsmani.

Pasukan itu juga ikut andil dalam penaklukan konstantinopel.

Seramnya lagi, ia sampai ingin mengkudeta sultan Ottoman, sultannya sendiri.

@PendisKemenag
@pojokpendidikan
@bukupembaharu

See-
https://t.co/Xk7JsrDRuZ"
2023-01-02 12:01:09+00:00,daehnun,@AbdinegaraSetia @PendisKemenag @pppkguru @Guru_PNS Jgn bikin overthinking 😢
2023-01-02 10:57:48+00:00,uinsgd_official,"TERIMA KASIH SUDAH BERJUANG!

Hey, kamu! Iya, kamu!
Terima kasih sudah berjuang, kamu hebat! Semangat melanjutkan perjalanan dan memulai hal baru lagi di tahun 2023. 😇🫶🏻

@Kemenag_RI @PendisKemenag 

https://t.co/UGw0cmbVs1 https://t.co/9EpAkBGQut"
2023-01-02 10:55:00+00:00,PendisKemenag,"Wisuda IAIN Ambon, Dirjen Pendis: Adaptasi Merupakan Kunci Menghadapi Perubahan Zaman

https://t.co/sjQXbBPC1R"
2023-01-02 10:06:03+00:00,bukanacik,@ndahmutty @AbdinegaraSetia @PendisKemenag @pppkguru @Guru_PNS 🤭
2023-01-02 09:43:16+00:00,ndahmutty,@AbdinegaraSetia @PendisKemenag @pppkguru @Guru_PNS @bukanacik
2023-01-02 09:34:00+00:00,PendisKemenag,"Prof Akmaliyah, Guru Besar UIN Sunan Gunung Djati Bersahaja dan Toleran

https://t.co/N3gqHl1Q1N"
2023-01-02 08:35:46+00:00,AbdinegaraSetia,Apa ini benar @PendisKemenag @pppkguru @Guru_PNS ? https://t.co/Vjgz3nwl3s
2023-01-02 07:33:05+00:00,PendisKemenag,"Kemenag Harap Dosen IAIN Ambon Urus Kepangkatan Akademik Hingga Guru Besar

https://t.co/kp1Mavfvup"
2023-01-02 07:17:06+00:00,mandupaofficial,"MAN 2 Pati Bersahaja 
INFO PENTING.

#MAN2PatiBersahaja
.
@kemenagkabpati
@KemenagJateng
@Kemenag_RI
@PendisKemenag
_________________________________
#Madrasah #Hebat #Madrasah #Bermartabat #Jateng #Islam #Indonesia #bersahaja #JawaTengah #antikorupsi #Bersahaja #Pendis #Kemenag https://t.co/wSzASeRCFg"
2023-01-01 00:00:14+00:00,gratis_cabe,Sebanyak 240 Ribu Guru PAI Ikuti PPKB Mulai Tahun 2023 @JurnalguruId https://t.co/cBFLa7itS5 #Guru @dewiambaratna @ladang17 @budimalau @ahbuch @akgni @herrybarus @cahyonurdin @Reotac @roso_daras @aquarini @nirwarkot @pradanikribow @syafrilelain1 @PendisKemenag @krlmania
2022-12-31 17:00:54+00:00,PPesantren,"Catatan kinerja Kementerian Agama selama tahun 2022.

https://t.co/B7c6vXvuZl

@PendisKemenag 
@Kemenag_RI"
2022-12-31 10:14:30+00:00,irlimai,@udin_mzudin @PendisKemenag Udah bisa taa
2022-12-29 23:36:53+00:00,udin_mzudin,"@PendisKemenag Mohon maaf admin, izin bertanya. Emis PD Pontren apakah sedang error, ya? Sejak kemarin akses super lambat dan sering ""This page isn’t working"". Mohon tanggapan dan solusinya. Terima kasih."
2022-12-28 07:17:39+00:00,Mahadalynj,"https://t.co/0s4984EZnL

@PPNurulJadid @Pojok9co @PPesantren @PendisKemenag"
2022-12-28 05:58:30+00:00,PendisKemenag,"Siswa MAN 2 Kota Makassar Raih Beasiswa Indonesia Maju (BIM) - LPDP Luar Negeri

https://t.co/lo6SdWVwr7"
2022-12-28 02:57:00+00:00,PendisKemenag,"869 ASN UIN Ar-Raniry Ikuti Survei IPMB Kemenag

https://t.co/zjtdD9mcr5"
2022-12-28 01:38:17+00:00,Mufi74858459,@PendisKemenag @Kemenag_RI Penghargaan ter the best kategori penyaluran insentif GBPNS guru honorer  kok gak ada ya?? #safegbpns
2022-12-28 01:27:59+00:00,PendisKemenag,Penghargaan @Kemenag_RI 2022 https://t.co/Vwnsimsz1w
2022-12-28 00:55:35+00:00,PendisKemenag,"Rektor UIN Bandung Minta Pimpinan Tindaklanjuti Rekomendasi AMI

https://t.co/o31fIeMbeR"
2022-12-27 23:50:05+00:00,PendisKemenag,"Semua agama mengajarkan kasih sayang. Kalau ini benar-benar deresapi dan dimaknai secara mendalam oleh seluruh umat Kristiani dan umat beragama yang lain, Indonesia pasti baik-baik saja.

Yaqut Cholil Qoumas 
Menteri Agama RI https://t.co/SBsApTe8VO"
2022-12-25 13:36:43+00:00,om_eprajol,"Kenapa kejadian seperti ini selalu terulang? Apakah ada yang salah dengan pola pendidikan di pesantren?
@Kemenag_RI @PendisKemenag perlu segera mengevaluasinya krn sudah banyak yg menjadi korban. 

https://t.co/Q7MSo6cyYG"
2022-12-24 04:38:52+00:00,MirzaHikmah,Harusnya saat siswa libur para guru juga bisa libur @PendisKemenag . Disekolah diknas saja libur. Mhon dipertimbangkan bagi para perantau yg klo ambil cuti di jam efektif juga susah harus meninggalkan siswa. Kami hanya butuh libur semester dikembalikan sprti sedia kala.
2022-12-24 04:35:29+00:00,MirzaHikmah,"Assalamualaikum admin @PendisKemenag. Semenjak edaran tertanggal 27 Juni 2022 lalu mengenai guru tetap masuk saat liburan semester genap, saat ini pula diliburan semester ganjil pun para kepala madrasah juga berpatokan pada itu surat. Sedangkan tidak ada edaran."
2022-12-23 12:51:00+00:00,PendisKemenag,"Dua Satker Kemenag Raih Penghargaan Pengelola SBSN Terbaik 2022

https://t.co/5DOAFn92dH"
2022-12-23 09:50:00+00:00,PendisKemenag,"MA AL Hikmah 2 Brebes Berhasil Raih Juara Debat Bahasa Arab Tingkat ASEAN

https://t.co/ErSy0mh6Uk"
