Date,Username,Tweet,label
2022-08-17 23:25:04+00:00,arismun60219134,@PendisKemenag serta mencuri kontak yang ada di email tersebut dan menelfon dan mwnjapri pimpinan kami dan kami mendapat kerugian sangsi disiplin dan mutasi apakah dalah hal ini asn pantas untuk di beri tindakan karena mencemarkan nama baik kami di instan,
2022-08-17 23:23:10+00:00,arismun60219134,"@PendisKemenag assalamualikum bapak saya mau bertanya apakah asn kemenag itu kebal hukum walaupun dia sdh melanggar uu dan merugikan pihak korban kok di usut kasusnya,ini terjadi di madrasah negeri 2 langsa ada seorang guru dia mengambil email dan akun fa",
2022-08-17 09:35:11+00:00,AhmadJu24843713,@PendisKemenag Alhamdulillah...... semoga terwujud,
2022-08-16 10:00:24+00:00,dwiagussamudra9,"@PendisKemenag 
@Kemenag_RI 

Alhamdulillah rekor 7 tahun, kalah sebelum bertanding di PPG.

Terverifikasi tapi belum pernah diikutsertakan dalam pre tes PPG.

Rodhitu Billah
#semangat
#ikhlas beramal",
2022-08-15 08:42:59+00:00,dwiagussamudra9,"@PendisKemenag @Kemenag_RI semoga tahun 2022 ini pre tes PPG, tidak seperti tahun2 sebelum terverifikasi tapi tidak pernah ikut pre tes PPG maupun PLPG dulunya....Aamin....
#Bahasa Asing/ Jerman
#antropologi
#kamijugagurukemenag RI",
2022-08-08 16:22:21+00:00,BigDasz,"@PendisKemenag @gtk_madrasah Gratis, pahala penuh",
2022-08-08 06:57:37+00:00,Dhimasnurw,"@PendisKemenag Assalamu'alaikum , untuk bop tpq kapan cairnya...",
2022-08-07 00:58:58+00:00,mus_newton,@PendisKemenag,
2022-08-07 00:55:21+00:00,mus_newton,@PendisKemenag kami tidak bisa mengajar... Tapi kenapa gelar kami S. Pd. I... kami juga punya Akta IV waktu lulus kuliah... Mohon kebijaksanaan Bpk Dirjen Pendis... Untuk tahun berikutnya ijazah kami bisa ter akomodir..,
2022-08-07 00:55:01+00:00,mus_newton,@PendisKemenag Assalamu'alaikum...Apa yang Salah dengan Ijazah kami Puluhan ribu Alumni Kependidikan Islam/Manajemen Pendidikan Islam sehingga tertolak ikut PPG... seolah ijazah kami tak ada nilai nya...padahal kami sdh mengabdi bertahun-tahun di MA... ad,
